cod_prov,name,total_porc
07,Illes Balears,16.2554749254
33,Asturias,26.4622148866
15,A Coruña,25.1921462076
17,Girona,18.6875259265
35,Las Palmas,15.9183103018
36,Pontevedra,23.1953342633
38,Santa Cruz De Tenerife,18.1412672753
39,Cantabria,22.6674247822
29,Málaga,18.0174879676
04,Almería,15.7023359856
30,Murcia,16.1032434751
02,Albacete,19.3124550036
05,Ávila,25.6988470359
01,Araba/Álava,21.8322717622
06,Badajoz,19.8300414442
03,Alacant/Alicante,20.4538641469
32,Ourense,31.5559575186
08,Barcelona,19.3558674261
09,Burgos,24.193885093
10,Cáceres,23.1888348815
11,Cádiz,17.1250405336
12,Castelló/Castellón,19.9107014409
13,Ciudad Real,20.2617540366
23,Jaén,19.6032191114
14,Córdoba,19.6937828444
16,Cuenca,22.4966209596
18,Granada,18.2996692844
19,Guadalajara,16.1258711212
20,Gipuzkoa/Guipúzcoa,23.0398836216
21,Huelva,17.1052780428
22,Huesca,22.7091507547
24,León,27.4190996471
25,Lleida,19.6836426641
26,La Rioja,21.4404311236
42,Soria,25.1819309836
31,Navarra,20.1357300966
51,Ceuta,12.782927355
27,Lugo,29.4064340734
28,Madrid,18.0844048577
34,Palencia,25.9883728262
37,Salamanca,26.7866617067
40,Segovia,22.4444127338
41,Sevilla,16.9463464643
45,Toledo,18.08515473
43,Tarragona,19.5161306036
44,Teruel,24.0750046878
46,València/Valencia,19.5506784265
47,Valladolid,23.5797704356
48,Bizkaia/Vizcaya,23.578540585
49,Zamora,30.9105926079
50,Zaragoza,21.2866470861
52,Melilla,11.3379116628